T #,Band #,State,Lake  ,Year Collected,Sex,Age,Blood Hg ppm,PLAS,LEUC,LEUC Count,Year of Death,APIC,
242,0649-08874,NY,Little Clear,2014,M,ATY,1.0,N,Y,0,,,
814,0938-53083,ME,Arnold Pond,2016,F,ATY,1.0,N,N,,,,
924,1238-24419,ME,Horseshoe Pond,2022,U,HY,1.0,N,N,,,,
835,1118-15277,NH,Nippo Pond,2016,F,ATY,1.0,N,Y,,,,
157,0669-55025,ME,Middle Pond Kezar ,2014,F,ATY,1.0,N,N,,,,
105,0938-44746,ME,Pleasant Lake ,2011,M,ATY,1.0,N,Y,,,Y,
660,1118-16231,ME,Indian Pond,2021,F,ATY,1.0,N,N,,,,
347,1118-15253,NH,Winnipesaukee,2015,F,ATY,1.0,Y,N,,,Y,
626,1238-04790,NH,Ogontz Lake,2021,M,ATY,1.0,N,Y,,,,
19,0669-21984,NH,Winnipesaukee,2010,M,ATY,1.0,N,N,,,N,
892,1238-24417,ME,Portage Lake,2022,M,ATY,1.0,Y,Y,,,,
45,0938-44411,ME,Haley Pond,2010,M,ATY,1.0,N,N,,,,
9,0669-21973,NH,Winnipesaukee,2010,M,ATY,1.0,N,N,,,N,
893,0689-15940,ME,Echo Lake ,2022,F,ATY,1.0,N,N,,,,
802,1118-15994,ME,Raymond Pond,2013,F,ATY,1.0,N,Y,,,,
519,1118-15987,ME,Loon Lake,2019,F,ATY,0.9,N,N,,,,
808,0938-66656,ME,Little Sebago,2013,M,ATY,0.9,N,N,,,,
313,1118-16189,NH,Adder Pond,2015,M,ATY,0.9,N,Y,,,,
901,1238-25628,ME,Long Lake,2022,F,ATY,0.9,N,N,,,,
553,0689-09476,ME,Little Sebago ,2020,F,ATY,0.9,N,N,,,,
160,0669-55040,ME,Long Pond ,2014,F,ATY,0.9,N,N,,,,
143,0669-21928,MA,Quabbin,2014,F,ATY,0.9,N,N,,,,
906,1238-24446,ME,Portage Lake,2022,M,ATY,0.9,N,Y,,,,
18,0898-09839,NH,Squam Lake,2010,F,ATY,0.9,N,N,,2017,N,
696,0689-15637,ME,Cushman Pond,2021,M,ATY,0.9,Y,N,,,,
674,0689-09408,ME,Messalonskee,2021,F,ATY,0.9,N,N,,,,
7,0669-21970,NH,Winnipesaukee,2010,F,ATY,0.9,N,N,,,N,
83,0938-44494,ME,Thompson Lake,2011,F,ATY,0.9,N,N,,,N,
905,0689-15980,ME,Portage Lake,2022,M,ATY,0.9,Y,Y,,,,
162,0669-55050,ME,Ingham Pond ,2014,F,ATY,0.9,Y,Y,45,,,
857,1118-15242,NH,Kanasatka Lake,2016,F,ATY,0.9,N,N,,,,
176,0938-78856,ME,Haley Pond,2014,F,ATY,0.9,N,Y,9,,,
863,1118-15219,NH,Nay Pond,2016,F,ATY,0.8,N,N,,,,
806,0898-05388,ME,Swan Lake,2013,F,ATY,0.8,N,N,,,,
890,1038-60138,ME,Echo Lake ,2022,F,ATY,0.8,N,Y,,,,
699,0689-09428,ME,Great Pond,2021,F,ATY,0.8,N,N,,,,
675,0689-09426,ME,Great Pond,2021,F,ATY,0.8,Y,Y,,,,
321,1118-16196,NH,Winnipesaukee,2015,M,ATY,0.8,N,Y,7,,Y,
843,1118-15280,NH,Conner Pond,2016,M,ATY,0.8,N,N,,,,
864,1118-15223,NH,"Sunapee Lake, Little",2016,M,ATY,0.8,N,N,,,,
120,0898-09133,NY,Little Moose Lake,2011,F,ATY,0.8,N,Y,,,,
852,1118-15291,NH,Waukewan Lake,2016,F,ATY,0.7,N,Y,,,,
329,UnNY-15003,NY,North Lake,2015,U,HY,0.7,N,N,,,,
327,0938-61783,NY,Little Moose Lake,2015,M,ATY,0.7,N,Y,,,,
664,0689-15626,ME,Long Pond,2021,M,ATY,0.7,N,Y,,,,
659,0689-15628,ME,Cushman Pond,2021,F,ATY,0.7,N,Y,,,,
328,UnNY-15004,NY,North Lake,2015,U,HY,0.7,N,N,,,,
920,0689-15933,ME,Great Pond,2022,F,ATY,0.7,N,N,,,,
889,0649-08885,NH,Massabesic Lake,2022,U,HY,0.7,N,N,,,,
895,0938-44496,ME,Little Sebago ,2022,F,ATY,0.7,N,N,,,,
855,0669-21988,NH,Little Squam Lake,2016,F,ATY,0.6,N,N,,,,
21,0669-21988,NH,Little Squam Lake,2010,F,ATY,0.6,N,N,,,N,
646,1238-04716,ME,Aziscohos,2021,F,ATY,0.6,N,N,,,,
902,0689-15948,ME,Black Lake,2022,F,ATY,0.6,N,Y,,,,
861,1118-15225,NH,Pontook Reservoir,2016,F,ATY,0.6,N,N,,,,
819,0938-66609,ME,Saddleback,2016,M,ATY,0.5,N,Y,,,,
880,0649-08890,NH,Highland Lake,2022,F,ATY,0.5,N,Y,,,,
701,1238-08890,ME,Lake George,2021,U,HY,0.5,N,N,,,,
918,0938-15147,ME,Flagstaff,2022,F,ATY,0.5,N,N,,,,
921,1238-24447,ME,Great Pond,2022,F,ATY,0.5,N,Y,,,,
167,0938-15353,ME,Kezar Lake,2014,M,ATY,0.5,N,Y,,,,
168,0938-26029,ME,East Pond,2014,M,ATY,0.4,N,Y,,,,
866,1118-15265,NH,Willard Pond,2016,F,ATY,0.4,N,Y,,2020,,
844,1118-15284,NH,Conner Pond,2016,F,ATY,0.4,Y,Y,,,,
517,1118-16206,ME,Beaver Pond,2019,U,HY,0.4,N,N,,,,
261,UnNY-14009,NY,Putnam Pond,2014,U,HY,0.4,N,N,,,,
694,0649-08883,ME,Mooselookmeguntic,2021,U,ATY,0.4,N,N,,,,
691,0689-09447,ME,North Pond,2021,U,HY,0.4,N,N,,,,
648,0689-15633,ME,Jimmie Pond,2021,U,HY,0.4,N,N,,,,
54,0938-06393,ME,Kezar Lake ,2010,U,HY,0.4,N,N,,,,
264,UnNY-14012,NY,Hitchins Pond,2014,U,HY,0.4,N,Y,,,,
265,UnNY-14013,NY,Mason Lake,2014,U,HY,0.3,N,N,,,,
922,0649-08886,ME,Indian Pond,2022,M,ATY,0.3,N,N,,,,
500,1118-16250,MA,"Hy-Crest Pond, MA",2019,U,HY,0.3,N,N,,,,
888,UnNH-22002,NH,Little Island Pond,2022,U,HY,0.3,N,N,,,,
240,0649-08826,NY,Garnet Lake,2014,M,ATY,0.3,N,Y,,,,
810,0938-78858,ME,L.L. Bean Pond,2013,F,ATY,0.3,N,N,,,,
703,0689-09420,ME,Webber Lake,2021,U,HY,0.3,N,N,,,,
693,0689-09406,ME,Thompson Lake,2021,U,HY,0.3,N,N,,,,
871,0938-03351,ME,Kezar Lake ,2017,U,HY,0.3,N,Y,,,,
125,0938-78816,NY,South Lake,2011,F,ATY,0.3,N,Y,,,,
119,0938-78814,NY,Rondayelk Lake,2011,M,ATY,0.3,N,Y,,,,
627,0689-15609,NH,Streeter Pond,2021,F,ATY,0.3,N,N,,,,
104,0938-44751,ME,Tea Pond ,2011,M,ATY,0.3,N,Y,,,Y,
1008,1118-15921,ME,Somes Pond,2012,U,HY,0.3,N,N,,,,
860,1118-15237,NH,East Inlet,2016,U,HY,0.2,N,Y,,,,
256,UnNY-14002,NY,Long Pond,2014,U,HY,0.2,N,N,,,,
173,0938-66658,ME,Mooselookmeguntic,2014,M,ATY,0.2,N,Y,,,,
923,1238-24421,ME,Great Pond,2022,M,ATY,0.2,N,Y,,,,
257,UnNY-14003,NY,Long Pond,2014,U,HY,0.2,N,N,,,,
925,0689-15928,ME,Great Pond,2022,M,ATY,0.2,N,Y,,,,
1059,UnNY-16005,NY,Twitchell Lake,2016,U,HY,0.2,N,N,,,,
709,0689-15631,ME,East Pond,2021,U,HY,0.2,N,N,,,,
707,0689-15627,ME,Kezar Lake,2021,U,HY,0.2,N,N,,,,
685,0689-15634,ME,Long Pond,2021,U,HY,0.2,N,N,,,,
681,0689-15646,ME,Kezar Lake,2021,U,HY,0.2,N,N,,,,
656,0689-09435,ME,Little Ossipee,2021,U,HY,0.2,N,N,,,,
653,0689-09424,ME,Maranacook Lake,2021,U,HY,0.2,N,N,,,,
645,0689-15635,MA,Whitehall Reservoir,2021,U,HY,0.2,N,N,,,,
164,0938-06438,ME,Kezar Lake ,2014,U,HY,0.2,N,Y,,,,
171,0938-44727,ME,Saddleback,2014,U,HY,0.2,N,Y,,,,
887,UnNH-22001,NH,Little Island Pond,2022,U,HY,0.2,N,N,,,,
1067,UnNY-16003,NY,Garnet Lake,2016,U,HY,0.18,N,N,,,,
170,0938-26125,ME,Long Lake,2014,M,ATY,0.2,N,Y,,,,
510,0689-09471,MA,Wachusett Reservoir,2020,U,HY,0.2,N,N,,,,
111,0669-20575,ME,Kezar Lake ,2011,U,HY,0.2,N,N,,,,
885,1238-25629,NH,Little Island Pond,2022,F,ATY,0.2,N,Y,,,,
908,0649-08882,ME,Coffee Pond ,2022,U,ATY,0.2,N,N,,,,
509,0689-09462,MA,Wachusett Reservoir,2020,U,HY,0.2,N,N,,,,
263,UnNY-14011,NY,Garnet Lake,2014,U,HY,0.2,N,Y,,,,
107,0938-44702,ME,Kezar Lake ,2011,U,HY,0.2,N,N,,,,
809,0938-78857,ME,Great Pond ,2013,U,HY,0.1,N,N,,,,
262,UnNY-14010,NY,Garnet Lake,2014,U,HY,0.1,N,N,,,,
260,UnNY-14006,NY,Upper St. Regis,2014,U,HY,0.1,N,Y,,,,
881,0689-15901,NH,Highland Lake,2022,M,ATY,0.1,N,Y,,,,
909,1118-15971,ME,Silver Lake ,2022,U,HY,0.1,N,Y,,,,
158,0669-55026,ME,Little Sebago ,2014,U,HY,0.1,N,Y,,,,
550,0689-09481,ME,Aziscohos,2020,M,ATY,0.1,N,Y,,,,
715,UNNY-21003,NY,Horseshoe Lake,2021,U,HY,0.1,Y,N,,,,
662,1238-08869,ME,East Pond,2021,U,HY,0.1,N,N,,,,
654,0689-09409,ME,Messalonskee,2021,U,HY,0.1,N,N,,,,
651,1238-08854,ME,Messalonskee,2021,U,HY,0.1,N,N,,,,
650,0649-08893,ME,Lake George,2021,U,HY,0.1,N,N,,,,
325,UnNY-15001,NY,Little Moose Lake,2015,U,HY,0.1,N,N,,,,
1065,UnNY-16004,NY,Oliver Pond,2016,U,HY,0.09,N,N,,,,
259,UnNY-14005,NY,Little Clear Pond,2014,U,HY,0.1,N,Y,,,,
258,UnNY-14004,NY,Little Clear Pond,2014,U,HY,0.1,N,Y,,,,
255,UnNY-14001,NY,Piercefield Flow Pond,2014,U,HY,0.1,N,Y,,,,
326,UnNY-15002,NY,Little Moose Lake,2015,U,HY,0.1,N,N,,,,
